timestamp,open,high,low,close,volume
2022-01-01 00:00:00+00:00,170.02,179.16,169.98,179.08,353398.590299
2022-01-02 00:00:00+00:00,179.06,179.48,174.38,176.36,334495.138966
2022-01-03 00:00:00+00:00,176.33,176.43,166.74,170.15,455263.889947
2022-01-04 00:00:00+00:00,170.16,173.9,166.5,167.77,569414.026021
2022-01-05 00:00:00+00:00,167.8,171.38,144.57,154.5,799215.599611
2022-01-06 00:00:00+00:00,154.48,154.79,146.07,150.2,929646.854702
2022-01-07 00:00:00+00:00,150.26,150.7,133.13,136.43,1484861.492242
2022-01-08 00:00:00+00:00,136.43,148.0,133.0,142.12,1505833.267732
2022-01-09 00:00:00+00:00,142.14,145.71,137.79,140.83,853325.790735
2022-01-10 00:00:00+00:00,140.81,143.78,130.0,135.79,1117969.559218
2022-01-11 00:00:00+00:00,135.83,143.48,133.61,140.18,802842.588619
2022-01-12 00:00:00+00:00,140.18,153.33,138.23,151.42,1206037.023547
2022-01-13 00:00:00+00:00,151.42,157.77,145.52,146.17,1088667.661092
2022-01-14 00:00:00+00:00,146.13,150.54,141.98,146.17,968707.195743
2022-01-15 00:00:00+00:00,146.18,149.5,143.95,147.64,519063.261617
2022-01-16 00:00:00+00:00,147.62,151.94,146.13,147.97,573881.184224
2022-01-17 00:00:00+00:00,148.0,148.26,137.06,139.79,798288.755682
2022-01-18 00:00:00+00:00,139.81,142.7,134.36,141.24,690737.664174
2022-01-19 00:00:00+00:00,141.27,142.66,132.8,135.22,837659.593415
2022-01-20 00:00:00+00:00,135.22,143.82,126.01,127.49,885354.370215
2022-01-21 00:00:00+00:00,127.47,128.72,106.14,112.24,2711189.320372
2022-01-22 00:00:00+00:00,112.2,114.17,87.74,94.56,3905304.120974
2022-01-23 00:00:00+00:00,94.6,104.73,93.26,99.8,2275541.502687
2022-01-24 00:00:00+00:00,99.74,99.86,80.0,91.92,3929831.424094
2022-01-25 00:00:00+00:00,91.88,99.92,87.43,94.65,2303956.933674
2022-01-26 00:00:00+00:00,94.64,104.42,89.24,92.15,2442515.185737
2022-01-27 00:00:00+00:00,92.13,94.64,85.71,89.54,2210379.505022
2022-01-28 00:00:00+00:00,89.54,93.55,87.17,91.36,1787240.756056
2022-01-29 00:00:00+00:00,91.36,99.02,90.51,96.18,1262595.500323
2022-01-30 00:00:00+00:00,96.17,97.6,91.44,93.27,916744.123521
2022-01-31 00:00:00+00:00,93.25,101.33,89.22,99.48,1436300.648588
2022-02-01 00:00:00+00:00,99.49,113.67,99.01,110.04,2202383.444499
2022-02-02 00:00:00+00:00,110.04,112.43,97.01,101.86,2223941.930729
2022-02-03 00:00:00+00:00,101.94,103.13,94.02,101.86,2078267.828768
2022-02-04 00:00:00+00:00,101.89,112.84,100.31,112.64,2036239.507935
2022-02-05 00:00:00+00:00,112.66,118.62,110.19,113.68,1527408.827066
2022-02-06 00:00:00+00:00,113.73,116.06,111.35,115.27,1016378.045835
2022-02-07 00:00:00+00:00,115.27,122.02,112.72,117.55,1507102.121819
2022-02-08 00:00:00+00:00,117.59,120.34,109.68,113.43,1433138.883319
2022-02-09 00:00:00+00:00,113.43,117.13,109.34,113.96,1147645.982819
2022-02-10 00:00:00+00:00,113.95,114.93,105.59,106.18,1442380.627824
2022-02-11 00:00:00+00:00,106.18,108.12,95.1,96.51,1322599.314596
2022-02-12 00:00:00+00:00,96.51,99.78,92.8,95.96,983055.292365
2022-02-13 00:00:00+00:00,95.95,97.36,91.36,92.84,725246.73623
2022-02-14 00:00:00+00:00,92.85,97.91,90.73,96.4,1064266.394163
2022-02-15 00:00:00+00:00,96.39,105.77,96.38,105.51,1115889.810427
2022-02-16 00:00:00+00:00,105.52,105.56,98.27,101.82,868729.152503
2022-02-17 00:00:00+00:00,101.83,102.79,92.34,93.5,1033041.896109
2022-02-18 00:00:00+00:00,93.53,96.41,89.35,89.89,1069231.12705
2022-02-19 00:00:00+00:00,89.88,92.69,88.64,91.26,639526.136924
2022-02-20 00:00:00+00:00,91.27,93.95,85.51,90.73,1190881.325965
2022-02-21 00:00:00+00:00,90.71,96.13,82.7,82.95,1864486.861126
2022-02-22 00:00:00+00:00,82.94,87.53,81.04,86.39,1637653.241696
2022-02-23 00:00:00+00:00,86.4,93.4,84.37,84.59,1746382.145912
2022-02-24 00:00:00+00:00,84.59,93.89,75.3,89.32,3624826.358862
2022-02-25 00:00:00+00:00,89.32,95.18,86.8,92.74,2611579.11756
2022-02-26 00:00:00+00:00,92.75,95.2,89.25,90.25,1300996.620841
2022-02-27 00:00:00+00:00,90.27,92.18,84.1,85.61,1716117.182052
2022-02-28 00:00:00+00:00,85.61,102.71,84.18,99.69,2219602.526086
2022-03-01 00:00:00+00:00,99.68,101.99,94.24,98.64,1842439.006882
2022-03-02 00:00:00+00:00,98.65,106.47,96.76,100.7,2088239.684617
2022-03-03 00:00:00+00:00,100.72,101.73,94.0,95.63,1338037.515876
2022-03-04 00:00:00+00:00,95.62,95.94,86.97,88.33,1451047.215623
2022-03-05 00:00:00+00:00,88.33,91.2,85.96,89.61,875786.411192
2022-03-06 00:00:00+00:00,89.6,89.95,84.08,84.55,940002.893468
2022-03-07 00:00:00+00:00,84.57,86.7,79.89,81.65,1496347.498769
2022-03-08 00:00:00+00:00,81.63,85.06,81.3,82.29,1421294.559764
2022-03-09 00:00:00+00:00,82.33,89.93,81.92,88.1,1495787.077293
2022-03-10 00:00:00+00:00,88.08,88.6,80.68,82.86,1369491.73759
2022-03-11 00:00:00+00:00,82.87,84.36,80.0,80.66,1188947.948784
2022-03-12 00:00:00+00:00,80.68,82.75,80.6,81.38,714578.913506
2022-03-13 00:00:00+00:00,81.4,83.38,77.77,78.74,886552.884454
2022-03-14 00:00:00+00:00,78.74,82.28,78.0,81.23,992443.17293
2022-03-15 00:00:00+00:00,81.23,85.99,78.71,82.83,723902.722753
2022-03-16 00:00:00+00:00,82.83,87.97,81.53,87.79,962199.234525
2022-03-17 00:00:00+00:00,87.79,91.03,86.59,87.84,727738.169568
2022-03-18 00:00:00+00:00,87.84,92.29,84.43,89.8,752221.648426
2022-03-19 00:00:00+00:00,89.8,94.56,89.25,92.34,670392.497931
2022-03-20 00:00:00+00:00,92.32,92.55,87.84,88.59,510429.695947
2022-03-21 00:00:00+00:00,88.61,91.29,86.72,88.58,650660.410555
2022-03-22 00:00:00+00:00,88.57,93.96,87.97,90.43,672071.858057
2022-03-23 00:00:00+00:00,90.43,96.34,89.17,94.86,654012.276374
2022-03-24 00:00:00+00:00,94.87,103.7,93.39,102.33,1374610.327921
2022-03-25 00:00:00+00:00,102.33,104.84,97.09,98.6,855079.100081
2022-03-26 00:00:00+00:00,98.59,103.36,97.62,101.75,444046.806424
2022-03-27 00:00:00+00:00,101.74,107.42,98.77,107.02,527498.462585
2022-03-28 00:00:00+00:00,107.02,113.85,105.22,105.75,1054652.747656
2022-03-29 00:00:00+00:00,105.74,115.68,105.46,111.61,1069710.589665
2022-03-30 00:00:00+00:00,111.61,125.26,107.04,120.79,1207687.17938
2022-03-31 00:00:00+00:00,120.79,129.55,119.92,122.75,1237664.746811
2022-04-01 00:00:00+00:00,122.77,138.4,117.44,134.48,1487556.777784
2022-04-02 00:00:00+00:00,134.5,143.48,131.43,132.51,1207307.690073
2022-04-03 00:00:00+00:00,132.45,141.1,130.52,136.88,940475.305165
2022-04-04 00:00:00+00:00,136.88,138.31,125.81,132.15,949378.222407
2022-04-05 00:00:00+00:00,132.15,136.66,126.07,126.81,733678.302483
2022-04-06 00:00:00+00:00,126.88,127.44,112.12,112.97,1334008.400317
2022-04-07 00:00:00+00:00,112.97,119.97,110.8,118.49,970753.343189
2022-04-08 00:00:00+00:00,118.47,122.41,108.11,109.93,1016692.127658
2022-04-09 00:00:00+00:00,109.91,113.66,108.3,112.95,541676.720025
2022-04-10 00:00:00+00:00,112.94,116.14,109.76,111.07,560767.341655
2022-04-11 00:00:00+00:00,111.07,111.93,98.13,99.67,1035370.56032
2022-04-12 00:00:00+00:00,99.66,109.33,98.33,103.2,1085241.80459
2022-04-13 00:00:00+00:00,103.24,105.99,100.1,104.95,848683.643667
2022-04-14 00:00:00+00:00,104.94,107.72,98.77,100.78,897203.92672
2022-04-15 00:00:00+00:00,100.78,102.89,99.54,101.39,583360.501491
2022-04-16 00:00:00+00:00,101.4,103.5,100.73,102.07,381288.398425
2022-04-17 00:00:00+00:00,102.06,105.5,99.61,100.15,495809.799848
2022-04-18 00:00:00+00:00,100.16,102.67,94.69,102.37,807089.62833
2022-04-19 00:00:00+00:00,102.37,108.8,101.06,108.5,606034.459614
2022-04-20 00:00:00+00:00,108.49,110.89,104.24,105.57,613887.926581
2022-04-21 00:00:00+00:00,105.58,109.99,99.89,101.76,803061.035738
2022-04-22 00:00:00+00:00,101.78,103.53,99.23,100.54,612758.695422
2022-04-23 00:00:00+00:00,100.53,102.9,98.31,100.62,357633.931635
2022-04-24 00:00:00+00:00,100.64,102.26,98.54,99.22,365170.6546
2022-04-25 00:00:00+00:00,99.21,101.59,94.38,100.98,817678.086917
2022-04-26 00:00:00+00:00,101.0,102.02,94.62,95.72,596211.777103
