datetime,fundingRate
2026-01-21 00:00:00+00:00,5.39125888927e-05
2026-01-21 08:00:00+00:00,-3.81347946719e-05
2026-01-21 16:00:00+00:00,4.74779545085e-05
2026-01-22 00:00:00+00:00,2.56185100736e-05
2026-01-22 08:00:00+00:00,6.3581574411e-06
2026-01-22 16:00:00+00:00,2.42891857974e-05
2026-01-23 00:00:00+00:00,7.95094198701e-05
2026-01-23 08:00:00+00:00,3.59713403361e-05
2026-01-23 16:00:00+00:00,1.36714886431e-05
2026-01-24 00:00:00+00:00,4.14704598464e-05
2026-01-24 08:00:00+00:00,2.8780524089e-05
2026-01-24 16:00:00+00:00,6.18323117706e-05
2026-01-25 00:00:00+00:00,1.46641107981e-05
2026-01-25 08:00:00+00:00,6.22267079245e-05
2026-01-25 16:00:00+00:00,6.4718371692e-06
2026-01-26 00:00:00+00:00,5.45217598879e-05
2026-01-26 08:00:00+00:00,-7.34996692213e-05
2026-01-26 16:00:00+00:00,6.15635148209e-05
2026-01-27 00:00:00+00:00,7.63719857417e-05
2026-01-27 08:00:00+00:00,6.40717107348e-05
2026-01-27 16:00:00+00:00,5.66073217609e-05
2026-01-28 00:00:00+00:00,5.67467220139e-05
2026-01-28 08:00:00+00:00,7.11755748427e-05
2026-01-28 16:00:00+00:00,3.54006729896e-05
2026-01-29 00:00:00+00:00,7.86134955275e-05
2026-01-29 08:00:00+00:00,-4.1790606066e-06
2026-01-29 16:00:00+00:00,6.19267246039e-05
2026-01-30 00:00:00+00:00,-6.5458555846e-06
2026-01-30 08:00:00+00:00,-4.33807911651e-05
2026-01-30 16:00:00+00:00,-1.71969234994e-05
2026-01-31 00:00:00+00:00,8.34075916422e-05
2026-01-31 08:00:00+00:00,4.15772335412e-05
2026-01-31 16:00:00+00:00,6.17832593108e-05
2026-02-01 00:00:00+00:00,-6.6945274943e-06
2026-02-01 08:00:00+00:00,-1.55078551259e-05
2026-02-01 16:00:00+00:00,6.47789297829e-05
2026-02-02 00:00:00+00:00,8.78095097359e-05
2026-02-02 08:00:00+00:00,5.96925098258e-05
2026-02-02 16:00:00+00:00,-7.39506326831e-05
2026-02-03 00:00:00+00:00,-4.68841739388e-05
2026-02-03 08:00:00+00:00,-3.347666376e-07
2026-02-03 16:00:00+00:00,6.5969563054e-06
2026-02-04 00:00:00+00:00,3.27909454738e-05
2026-02-04 08:00:00+00:00,3.97239665777e-05
2026-02-04 16:00:00+00:00,5.9374777323e-05
2026-02-05 00:00:00+00:00,8.18857149218e-05
2026-02-05 08:00:00+00:00,3.01599118301e-05
2026-02-05 16:00:00+00:00,1.27569790646e-05
2026-02-06 00:00:00+00:00,0.0001
2026-02-06 08:00:00+00:00,-6.8407289022e-06
2026-02-06 16:00:00+00:00,-6.87134656322e-05
2026-02-07 00:00:00+00:00,-6.12733148768e-05
2026-02-07 08:00:00+00:00,5.53394591617e-05
2026-02-07 16:00:00+00:00,8.61133048323e-05
2026-02-08 00:00:00+00:00,3.08067996977e-05
2026-02-08 08:00:00+00:00,1.60704088961e-05
2026-02-08 16:00:00+00:00,-3.75322134276e-05
2026-02-09 00:00:00+00:00,6.83234277534e-05
2026-02-09 08:00:00+00:00,5.12711814493e-05
2026-02-09 16:00:00+00:00,5.03922037352e-05
2026-02-10 00:00:00+00:00,1.39541728666e-05
2026-02-10 08:00:00+00:00,5.64627836126e-05
2026-02-10 16:00:00+00:00,-3.3093793619e-05
2026-02-11 00:00:00+00:00,6.54716061393e-05
2026-02-11 08:00:00+00:00,6.26740645226e-05
2026-02-11 16:00:00+00:00,2.7571231793e-05
2026-02-12 00:00:00+00:00,1.1607619834e-05
2026-02-12 08:00:00+00:00,7.34261249528e-05
2026-02-12 16:00:00+00:00,4.25188287004e-05
2026-02-13 00:00:00+00:00,6.49474169246e-05
2026-02-13 08:00:00+00:00,0.0001
2026-02-13 16:00:00+00:00,1.84009491766e-05
2026-02-14 00:00:00+00:00,3.02084345609e-05
2026-02-14 08:00:00+00:00,-6.6511183633e-06
2026-02-14 16:00:00+00:00,4.86341703692e-05
2026-02-15 00:00:00+00:00,6.71396939898e-05
2026-02-15 08:00:00+00:00,1.85950909647e-05
2026-02-15 16:00:00+00:00,8.4825894128e-06
2026-02-16 00:00:00+00:00,2.68616298283e-05
2026-02-16 08:00:00+00:00,6.40047502396e-05
2026-02-16 16:00:00+00:00,2.48895261036e-05
2026-02-17 00:00:00+00:00,9.2396052219e-06
2026-02-17 08:00:00+00:00,5.36110553136e-05
2026-02-17 16:00:00+00:00,3.78394238062e-05
2026-02-18 00:00:00+00:00,1.11626616908e-05
2026-02-18 08:00:00+00:00,-1.18184703931e-05
2026-02-18 16:00:00+00:00,6.22506821764e-05
2026-02-19 00:00:00+00:00,3.58972331016e-05
2026-02-19 08:00:00+00:00,1.10370634994e-05
2026-02-19 16:00:00+00:00,3.12908878179e-05
2026-02-20 00:00:00+00:00,3.96991534163e-05
2026-02-20 08:00:00+00:00,5.99227465627e-05
2026-02-20 16:00:00+00:00,7.22330478366e-05
2026-02-21 00:00:00+00:00,8.84810754494e-05
2026-02-21 08:00:00+00:00,8.86683896573e-05
2026-02-21 16:00:00+00:00,4.31501597423e-05
2026-02-22 00:00:00+00:00,7.86658182692e-05
2026-02-22 08:00:00+00:00,5.72325079269e-05
2026-02-22 16:00:00+00:00,8.15649535124e-05
2026-02-23 00:00:00+00:00,3.94623008752e-05
